model_id	provider	model_type	actual_model_id	region	supports_temperature	thinking_supported	tool_calling_supported	input_price	output_price	rpm_limit	tpm_limit	max_concurrent_requests
gemini-2.5-pro	google	gemini	gemini-2.5-pro	us-central1	true	true	true	0.00125	0.00375	100	1000000	5
gemini-2.5-flash	google	gemini	gemini-2.5-flash	us-central1	true	true	true	0.00035	0.00105	500	500000	10
gemini-2.0-flash	google	gemini	gemini-2.0-flash-001	us-central1	true	false	true	0.00025	0.00075	1000	200000	20
gemini-2.0-flash-lite	google	gemini	gemini-2.0-flash-lite	us-central1	true	false	true	0.00015	0.00045	1500	100000	30
claude-sonnet-4-5	bedrock	claude	us.anthropic.claude-sonnet-4-5-20250929-v1:0	us-east-1	true	false	true	0.0015	0.0075	50	500000	5
claude-sonnet-4	bedrock	claude	anthropic.claude-sonnet-4-20250514-v1:0	us-east-1	true	false	true	0.0015	0.0075	50	500000	5
claude-opus-4	bedrock	claude	anthropic.claude-opus-4-1-20250805-v1:0	us-east-1	true	false	true	0.0030	0.0150	30	400000	3
claude-3.5-haiku	bedrock	claude	us.anthropic.claude-3-5-haiku-20241022-v1:0	us-east-1	true	false	true	0.0003	0.0015	200	200000	10
nova-premier	bedrock	nova	us.amazon.nova-premier-v1:0	us-east-1	true	false	false	0.0025	0.0125	30	300000	3
nova-pro	bedrock	nova	us.amazon.nova-pro-v1:0	us-east-1	true	false	false	0.0008	0.0032	100	100000	5
nova-lite	bedrock	nova	us.amazon.nova-lite-v1:0	us-east-1	true	false	false	0.00006	0.00024	500	50000	10
nova-micro	bedrock	nova	us.amazon.nova-micro-v1:0	us-east-1	true	false	false	0.000035	0.00014	1000	20000	20
o3	azure	azure-openai	o3	eastus-2	false	true	false	0.011	0.044	10	100000	1
o4-mini	azure	azure-openai	o4-mini	eastus-3	false	true	false	0.0011	0.0044	50	50000	5
gpt-4.1	azure	azure-openai	gpt-4.1	eastus-4	false	false	true	0.002	0.008	30	300000	3
gpt-5	azure	azure-openai	gpt-5	eastus-4	false	true	false	0.002	0.008	30	300000	3
gpt-5-mini	azure	azure-openai	gpt-5-mini	eastus-5	false	false	true	0.0004	0.0016	100	100000	5
text-embedding-3-small	azure	azure-openai	text-embedding-3-small	eastus	true	false	false	0.00002	0.00002	3000	1000000	100
